budget,revenue,genres_name,original_title
7500000,26096852,Drama,An Education
6244087,638641,Adventure,The Wild Bunch
14000000,2474000,Drama,Jefferson in Paris
110000000,72178895,Action,Around the World in 80 Days
800000,1001437,Drama,Ruby in Paradise
0,2225098,Comedy,Le Week-End
0,206728,Western,Sweetgrass
30000000,8574339,Action,The Lost City of Z
0,27297451,Adventure,The Last Mimzy
15000000,5600000,Horror,Bordello of Blood
0,1622164,Comedy,La escopeta nacional
22000000,505000000,Fantasy,Ghost
20000000,57588485,Drama,Drumline
0,5790448,Action,Gang Related
70000000,18662027,Animation,Legends of Oz: Dorothy's Return
0,80768,Animation,サマーウォーズ
0,17519169,Comedy,Home for the Holidays
0,43885000,Romance,Love at First Bite
19000000,18755936,Comedy,Sex Drive
23000000,351583407,Romance,The Mask
18339750,92180910,Drama,Der Untergang
102000000,147080413,Action,Swordfish
7920000,14560084,Mystery,Death on the Nile
12560000,42700000,Comedy,La Vérité si je Mens ! 2
98000000,10017322,Action,Cutthroat Island
8500000,5001655,Comedy,Club Dread
0,30292,Drama,Танец Дели
11178,34659,Comedy,Bwakaw
9500000,7800000,Comedy,Bad Words
55000000,203427584,Adventure,Everest
1000000,9000000,Drama,Love Me Tender
0,2287714,Action,GHOST IN THE SHELL
24554,140021,Drama,Theeviravaathi: The Terrorist
0,187349,Drama,Rocket Gibraltar
50000000,87528173,Comedy,RV
0,17636261,Drama,ノルウェイの森
10000000,14000,Science Fiction,Cherry 2000
0,143597,Drama,Undertow
15000000,13060843,Crime,25th Hour
15000000,56255142,Adventure,Into the Wild
27000,3151130,Comedy,Clerks
40000000,23937870,Adventure,Stormbreaker
0,20,Documentary,Glass: A Portrait of Philip in Twelve Parts
21000000,72417394,Family,Diary of a Wimpy Kid: Rodrick Rules
72500000,162966177,Comedy,Talladega Nights: The Ballad of Ricky Bobby
12000000,46044400,Action,Marked for Death
50000000,83761844,Family,Marmaduke
65000000,250821495,Comedy,You've Got Mail
0,602042,Documentary,We Steal Secrets: The Story of WikiLeaks
2915739,14000000,Horror,Arundhati
70000000,164000000,Action,Six Days Seven Nights
0,23020,Drama,Goat
65000000,217764291,Drama,Collateral
0,10,Horror,Bats
30000000,66486080,Horror,The Cabin in the Woods
12000000,12902790,Comedy,Living Out Loud
19000000,23550000,Drama,Paris
7000000,48126384,Crime,End of Watch
25000000,1614266,Comedy,Space Truckers
9000000,276921998,Horror,Split
0,6841570,Thriller,Exit to Eden
24000000,23510601,Action,Biker Boyz
28000000,11373501,Animation,Thumbelina
6000000,254700832,Comedy,Four Weddings and a Funeral
16000000,5367030,Crime,The Lookout
65000000,163442937,Drama,Unbroken
0,310724,Action,"O Que é Isso, Companheiro?"
160000000,653428261,Action,The Hunger Games: Mockingjay - Part 2
0,5873871,Action,Obitaemyy Ostrov. Skhvatka
60000000,52322400,Drama,Dragonfly
25000000,56489558,Action,Cradle 2 the Grave
3000000,9563393,Comedy,Scenes from a Mall
9000000,26055,Fantasy,Highway to Hell
11000000,48572000,Action,Tremors
225000,2850000,Comedy,I'm No Angel
0,2945242,Comedy,Romance & Cigarettes
0,22886222,Drama,Guilty as Sin
0,6193901,Action,Braddock: Missing in Action III
100000000,193772504,Drama,Gangs of New York
100000000,100086793,Family,Where the Wild Things Are
108000000,22678555,Crime,Live by Night
30000000,21800302,Comedy,Mr. 3000
26000000,110230332,Comedy,Freaky Friday
15000000,8459458,Drama,Chloe
9500000,12250,Drama,Laurence Anyways
16000000,12,Comedy,The Cookout
0,6297,Drama,Don's Plum
175000000,350170057,Family,Cars 3
55000000,113020255,Crime,Changeling
60000000,118338361,Animation,The Pirates! In an Adventure with Scientists!
115000000,286140700,Science Fiction,Elysium
20000000,27793200,Fantasy,デスノート
12000000,68706993,Crime,Witness
0,750000,Action,Defence of the Realm
85000000,183018522,Adventure,Mirror Mirror
135000000,532950503,Western,The Revenant
90000000,161626121,Drama,Payback
12000000,5669831,Action,Nadine
71000000,294456605,Comedy,Doctor Dolittle
26000000,116400000,Comedy,The First Wives Club
40000000,60965854,Action,Colombiana
15000000,20529194,Drama,Country Strong
100000000,384335608,Animation,Happy Feet
0,5588800,Romance,Paradise
23000000,5837674,Drama,十月圍城
5000000,346592,Comedy,Meet Bill
0,3225000,War,Twelve O'Clock High
1,3,Action,Saamy
25000000,38307627,Drama,Million Dollar Arm
75000000,117698894,Thriller,Now You See Me
0,9833553,Mystery,ゴースト もういちど抱きしめたい
30000000,27610873,Drama,Goal!: The Dream Begins
11000000,2200000,Drama,The Molly Maguires
0,1289998,Comedy,What We Did on Our Holiday
27000000,60527873,Drama,Kiss the Girls
0,152810,Comedy,The Mostly Unfabulous Social Life of Ethan Green
0,88000,War,Attack Force Z
60000000,50549107,Action,Jack Ryan: Shadow Recruit
0,14681192,Comedy,Arthur 2: On the Rocks
36000000,87416021,Drama,Collateral Beauty
12,1,Fantasy,The Wind in the Willows
1000000,3301446,Adventure,風の谷のナウシカ
350000,3515061,Documentary,Born into Brothels
110000000,121790373,Drama,Deepwater Horizon
7200000,116019547,Adventure,Diamonds Are Forever
0,9500000,Comedy,The Wild Life
7000000,10229331,Action,The Wash
20500000,10089373,Action,Punisher: War Zone
0,393970,Documentary,Chasing Trane
130000000,119269486,Action,Sahara
45000000,788241776,Family,The Lion King
75000000,14567883,Action,Soldier
65000000,93525586,Fantasy,The Lovely Bones
0,3162153,Family,The Eagle Huntress
2200000,9700000,Action,Singam
3300000,5249225,Drama,А зори здесь тихие...
15400000,25762027,Drama,De rouille et d'os
90000000,60289912,Drama,The Insider
7000,424760,Science Fiction,Primer
12000000,101332962,Drama,Heaven is for Real
0,1644060,Family,Astérix & Obélix contre César
0,3351735,Drama,Maggie's Plan
3300000,64110728,Thriller,The Lazarus Effect
0,1192322,Comedy,High Hopes
13100000,4100000,Drama,Thank You
40000000,91753202,Action,Behind Enemy Lines
4500000,10609321,Comedy,After Hours
500000,17000000,Horror,Kingdom of the Spiders
16000000,17374595,Science Fiction,Outland
30000000,100491683,Animation,The Rugrats Movie
14000000,5080409,Drama,Miller's Crossing
35000000,19478106,Animation,Valiant
0,830129,Drama,Born to Be Blue
100000000,170877916,Drama,Blood Diamond
74500000,62172050,Adventure,Deux frères
8000000,2000000,Crime,Red Rock West
0,68929150,Drama,Anna Karenina
55000000,100230832,Drama,Any Given Sunday
25000000,229736344,Family,Mr. Bean's Holiday
0,12000,Drama,The Dry Land
36000000,1345903,Drama,At Play in the Fields of the Lord
20000000,2128186,Action,Setup
75000000,195745823,Comedy,Anger Management
6843500,10703234,Comedy,Il peggior Natale della mia vita
7075038,9868942,Adventure,Время первых
0,126463,Drama,Moka
60000000,129832389,Family,Jingle All the Way
18000000,72179579,Comedy,The Cannonball Run
0,900689,Comedy,The Great Buck Howard
0,32230907,Comedy,Kevin Hart: Let Me Explain
0,1919653,Drama,Communion
40000000,75505856,Action,The Last of the Mohicans
13000000,7820688,Comedy,Serial Mom
30000000,58405313,Romance,Must Love Dogs
3000000,6000000,Drama,The Legend of Bhagat Singh
0,8251,Drama,Before I Disappear
0,1469,Action,The Package
0,8143225,Action,DeepStar Six
17000000,125586134,Horror,I Know What You Did Last Summer
30000000,14110589,Animation,Cool World
19000000,6682098,Thriller,U Turn
10000000,40485039,Adventure,Bill & Ted's Excellent Adventure
0,4104962,Drama,This Boy’s Life
18500000,183316455,Horror,Aliens
87000000,148336445,Drama,Seabiscuit
28000000,97594140,Romance,Safe Haven
800000,966214,Comedy,'N Beetje Verliefd
65000000,179379533,Comedy,The Dictator
60000000,149705852,Crime,The General's Daughter
0,69932387,Drama,おくりびと
0,373530,Adventure,Inferno in diretta
2000000,4601043,Crime,Thirteen
3750000,5000000,Comedy,Atithi Tum Kab Jaoge
30000000,151119219,Fantasy,Midnight in Paris
19000000,40996665,Horror,Poltergeist II: The Other Side
2900000,296557,Action,Black Dynamite
26000000,29657751,Crime,The Raven
9000000,706000,Comedy,How About You...
0,641100,Drama,Holy Motors
6000000,18197398,Comedy,Daddy Day Camp
0,2012927,Comedy,Pagafantas
810000,1258000,Drama,The Last Wave
40000000,109676311,Drama,The Prestige
10000000,3400278,Comedy,Everybody Wants Some!!
13000000,96060858,Science Fiction,The Butterfly Effect
16000000,109130,Crime,The Weight of Water
57000000,147845033,Action,The Mexican
13000000,11130889,Adventure,The Astronaut Farmer
0,300859,Family,White Water Summer
0,70918,Drama,The Better Angels
40000000,160583018,Adventure,Johnny English
7000000,50888000,Comedy,Bull Durham
762241,285930,Drama,Aquarius
110000000,337580051,Action,300: Rise of an Empire
0,1986615,Drama,Remember
0,832735,Documentary,"Fast, Cheap & Out of Control"
0,4300000,Mystery,The Mean Season
10300000,47748,Drama,Mal de pierres
0,343786,Comedy,Tapeheads
14000000,875386,Adventure,Universal Soldier: Regeneration
30000000,254134910,Fantasy,Babe
85000000,315156409,Action,Air Force One
80000000,5989640,Thriller,A Sound of Thunder
23000000,12,Comedy,Chasing Liberty
0,1787926,Drama,Exposed
0,1009620,Music,The Song
5000000,12534961,Horror,Hellraiser III: Hell on Earth
0,3790493,Comedy,Sweet Hearts Dance
0,4910682,Horror,Shrooms
1288000,6000000,Drama,Rebecca
250000,340147,Drama,Swoon
18000000,88923251,Romance,My Big Fat Greek Wedding 2
7000000,25405445,Thriller,Desperado
0,203781,History,De Aanslag
22000000,147880543,Comedy,The Game Plan
90000000,171120329,Drama,Contact
0,126297830,Comedy,Parenthood
3000000,15369573,Comedy,Spaced Invaders
0,18782400,Crime,Suspect
17000000,270000000,Drama,Rocky III
16500000,13620075,Comedy,Sydney White
16000000,318982,Drama,Adore
113,115103979,Adventure,"The Karate Kid, Part II"
2000000,1672730,Unknown,"The Book of Mormon Movie, Volume 1: The Journey"
35000000,459270619,Comedy,The Hangover
19000000,174999005,Drama,Sleeping with the Enemy
15000000,23000,Action,All The Queen's Men
25000000,6500000,Family,Белка и Стрелка. Звёздные собаки
0,1612100,Horror,Morgana
18000000,6375979,Comedy,Article 99
3200000,4267218,Comedy,The Meddler
20000000,22165608,Action,The Marine
0,16589540,Fantasy,Heart and Souls
0,1300000,Western,Red Garters
10500000,9400000,Action,Chandni Chowk To China
48000000,35743308,Comedy,Riding in Cars with Boys
13500000,187674,Drama,Stonewall
0,3335984,Comedy,My Boyfriend's Back
25000000,15478800,Crime,The Conspirator
60000000,186883563,Drama,The Horse Whisperer
4500000,3468423,Adventure,Добрыня Никитич и Змей Горыныч
9000000,108782847,Horror,The Purge: Anarchy
250000,609524,Drama,Poison
590235,1725381,Animation,Mary and Max
35000000,63215872,Action,Lions for Lambs
12000000,66351,Crime,Deadfall
0,37803872,Drama,St. Elmo's Fire
2000000,7306,Crime,Stolen Lives
25000000,11838218,Action,Most Wanted
2800000,3600000,Horror,Phoenix Forgotten
15000000,44065653,Action,Passenger 57
0,25,Documentary,Lake of Fire
80000000,473226958,Animation,Hotel Transylvania 2
0,741766,War,L'Armée des ombres
57000000,52034889,Comedy,Elizabethtown
0,316472,Action,Good Kill
25000000,13071518,Mystery,Clockers
0,11750000,Western,Gunfight at the O.K. Corral
10000000,10759,Action,Forces spéciales
25000000,6673422,Comedy,What Just Happened
60000000,102367405,Thriller,U.S. Marshals
60000,3221152,Mystery,Pi
6500000,13865435,Horror,The Pyramid
910000,9600000,Crime,On the Waterfront
22000000,194647323,Comedy,A Dog's Purpose
93,2500000,Comedy,From Prada to Nada
27000000,101646581,Thriller,Timecop
0,53447,Drama,High Strung
12000000,21133087,Horror,Stir of Echoes
2000000,6000000,Romance,அலைபாயுதே
15000000,123726688,Drama,The Theory of Everything
149000000,820580447,Action,Wonder Woman
32000000,28258060,Drama,The Master
30000000,18195610,Action,Antitrust
0,365522,Documentary,Glen Campbell: I'll Be Me
10000000,28883511,Drama,Big Eyes
13000000,122700000,Drama,The Ten Commandments
0,8500000,Action,அந்நியன்
4000000,25345000,Adventure,A Lonely Place to Die
20000000,17425000,Adventure,Monte Carlo
62000000,41819064,Comedy,The Love Guru
78146652,60000000,Romance,Duplicity
28000000,38159905,Comedy,Just My Luck
4100000,36000000,Drama,The Robe
0,226286,Documentary,Supersonic
18000000,9697739,Family,SpaceCamp
40000000,126248813,Action,Predators
4000000,46474,Drama,December Boys
45000000,9323833,Drama,Miracle at St. Anna
3000000,19184015,Comedy,Martin Lawrence Live: Runteldat
75000000,335062621,Action,The Rock
48000000,474171806,Adventure,Indiana Jones and the Last Crusade
0,621951,Comedy,The Greatest Movie Ever Sold
150000000,128388320,Adventure,Pan
6900000,7993039,Comedy,Dazed and Confused
65000000,40002112,Horror,I Still Know What You Did Last Summer
79000000,926287400,Adventure,The Lord of the Rings: The Two Towers
8000000,20000000,Comedy,Sweet Charity
5800000,7000000,Action,Crossover
30000000,105834556,Drama,About Schmidt
3500000,16324573,Thriller,Tales from the Darkside: The Movie
9000000,81705746,Horror,Ouija: Origin of Evil
0,238073,Documentary,49 Up
13000000,97837138,Thriller,Phone Booth
49000000,104399548,Crime,Chappie
40000000,141591324,Horror,Gothika
0,11081586,Comedy,Mad Dog and Glory
14500000,95789342,Animation,Metropolis
0,600000,Action,Scarface
0,4878242,Adventure,Tracks
8500000,22456509,Comedy,Baggage Claim
23000000,46152411,Comedy,Eddie the Eagle
2700000,37799643,Adventure,The Black Stallion
0,16136,Drama,Look
0,1600000,Drama,Short Term 12
75000000,196482882,Comedy,50 First Dates
20000000,36606743,Drama,Burnt
0,930349,Drama,El pico 2
0,81010,Comedy,Bunny and the Bull
12000000,7900000,Action,The Alamo
40000000,36893721,Action,One for the Money
12000000,17768012,Drama,Unforgettable
18000000,3900000,Science Fiction,The Manhattan Project
5000000,82719885,Horror,28 Days Later
7000000,16829545,Horror,House of 1000 Corpses
80000000,74901339,Crime,Edge of Darkness
1000000,10013424,Comedy,Kissing Jessica Stein
35000000,211952420,Comedy,Bridget Jones's Baby
0,20710451,Drama,Hamlet
16000000,48878502,Action,Darkman
0,7800000,Adventure,Sahara
16000000,12434778,Drama,People Like Us
0,88,Action,Blood on the Moon
0,8033397,Comedy,Haunted Honeymoon
0,461162,Drama,"Men, Women & Children"
20000000,4001121,Drama,I'm Not There.
19000000,25836616,Horror,From Dusk Till Dawn
0,1083282,Comedy,Housekeeping
10400000,310000000,Drama,दंगल
1500000,4400000,Music,कट्यार काळजात घुसली
40000000,312242626,Action,Resident Evil: The Final Chapter
90000,5000000,Horror,Macabre
28000000,5684789,Drama,Kundun
0,9016377,Comedy,Trippin'
0,234748,Drama,А поутру они проснулись
6000000,44703995,Drama,The Wrestler
3000000,11176469,Romance,Before Midnight
0,32648673,Comedy,Tommy Boy
0,214000,Romance,Un Prince (presque) charmant
8000000,21028755,Horror,Creepshow
8000000,100523181,Comedy,Little Miss Sunshine
13000000,1151330,Drama,Infamous
35000000,42930462,Thriller,Snitch
15000000,356830601,Action,Top Gun
12000000,60273173,Drama,The Perfect Guy
65000000,117487473,Adventure,A Knight's Tale
16000000,53478166,Comedy,10 Things I Hate About You
5500000,26414658,Drama,The Gauntlet
100000,11000000,Drama,The Birth of a Nation
0,228984,Thriller,智取威虎山
0,429766,Documentary,Page One: Inside the New York Times
700000,31576,Drama,The Tracey Fragments
0,273644,Fantasy,The Swan Princess: Escape from Castle Mountain
12000000,3769990,Horror,The Monster Squad
8575000,1983204,Thriller,아가씨
5000000,8203235,Thriller,The Machinist
17000000,16980098,Comedy,Win a Date with Tad Hamilton!
6000000,28900000,Action,The Guns of Navarone
0,1107542,Drama,Flashbacks of a Fool
0,170000,Foreign,El Estudiante
35000000,117270765,Family,Dennis the Menace
4500000,27092880,Comedy,Fast Times at Ridgemont High
0,4971340,Fantasy,Fanny och Alexander
70000000,177841558,Crime,Double Jeopardy
0,837000,Drama,Voces inocentes
10000000,4073489,Drama,Denial
85000000,137298489,Adventure,Last Action Hero
22000000,84772742,Action,The Animal
15000000,146900000,Action,Ben-Hur
0,5632086,Music,Swing Kids
16000000,29251596,Action,Fan
6000000,6174491,Drama,Bleed for This
0,12413650,Drama,Why Do Fools Fall In Love
16000000,109502303,Comedy,Sideways
10000000,1500000,Adventure,The Private Life of Sherlock Holmes
15000000,30102717,Thriller,Double Impact
100000000,330579719,Action,Fantastic Four
0,44527234,Comedy,The Odd Couple
27000000,20158808,Drama,The Neverending Story
0,36565280,Adventure,"Tarzan, the Ape Man"
23000000,150816700,Music,Step Up 2: The Streets
300000,1400000,Adventure,Goodbye Pork Pie
6,8,Drama,Pollock
50000000,73956241,Drama,The Hurricane
50000000,97437106,Romance,The Book of Life
39000000,288752301,Comedy,Coming to America
13000000,8026971,Comedy,Woo
0,55240,Drama,生きる
5000000,1000000,Drama,Animal Kingdom
50000000,94000000,Drama,Syriana
9000000,2500000,Science Fiction,Barbarella
0,16300000,Drama,Going My Way
30000000,192452832,Adventure,The Curse of the Were-Rabbit
16500000,135000000,Drama,Sense and Sensibility
5000000,12232628,Action,Lone Wolf McQuade
0,49501,Comedy,Orphans
20000,99000,Crime,キュア
2600000,553198,Science Fiction,Los cronocrímenes
25000000,22200000,Romance,Don Juan DeMarco
11500000,20079850,Drama,Reality Bites
0,13000000,Comedy,Real Genius
13000000,754249,Fantasy,Enter the Void
7500000,8135031,Action,Iron Sky
54000000,132511035,Action,V for Vendetta
5500000,10016934,Comedy,Den Skaldede Frisør
15000000,16633035,Drama,Whip It
0,18112929,Horror,Chernobyl Diaries
0,70,Family,My Summer Story
0,10,Action,Elektra Luxx
250000000,958400000,Adventure,The Hobbit: The Desolation of Smaug
0,340911,Drama,Jimi: All Is by My Side
6300000,419953,Thriller,Shadow Dancer
0,76578911,Comedy,Father of the Bride Part II
2650000,3100000,Drama,Birdman of Alcatraz
6400000,5900000,Comedy,Anjaana Anjaani
6000000,3485127,Comedy,Veronica Mars
4200000,38376497,Action,Red Dawn
135000000,76932943,Action,Stealth
10000000,11411644,Animation,The Powerpuff Girls Movie
28000000,60700000,Action,Kick-Ass 2
25000000,777423,Drama,Without Limits
0,1296937,Comedy,A Little Bit of Heaven
2500000,8750000,Crime,To Catch a Thief
125000000,544272402,Action,The Day After Tomorrow
25000000,11000000,Action,Big Trouble in Little China
0,46405336,Drama,Malice
26000000,183293131,Action,Paul Blart: Mall Cop
160000000,1262886337,Family,Beauty and the Beast
1271000,3788000,Crime,Bad Day at Black Rock
40000000,86234523,Comedy,War Dogs
0,1382462,Comedy,Repossessed
0,11294,Drama,The Devil's Violinist
113000000,850000000,Science Fiction,Star Wars: Episode III - Revenge of the Sith
0,6000000,Comedy,The Grass Is Greener
35000000,11560806,Drama,The Order
30000000,180622424,Comedy,Sweet Home Alabama
5000000,2450846,Thriller,Kill the Messenger
0,5979292,Horror,The Hunger
1,2,Romance,Tere Naam
